Name,Type,Address,County,City,State,Zip_code,Latitude,Longitude,NumPanels,YearlyEnergy (kWh),SolarArea (m²)
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1305 GA-20, McDonough, GA 30253, USA",Henry County,McDonough,GA,30253,33.4228595,-84.18526709999999,36,22282.516,70.68797
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2045 GA-155 N, McDonough, GA 30252, USA",Henry County,McDonough,GA,30252,33.5060439,-84.1421326,18,9770.111,35.343987
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","105 Country Club Dr, Stockbridge, GA 30281, USA",Henry County,Stockbridge,GA,30281,33.5060971,-84.2277046,29,17249.377,56.943092
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4065 Forsyth Rd, Macon, GA 31210, USA",Bibb County,Macon,GA,31210,32.8648384,-83.69161799999999,56,28364.719,109.959076
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","840 Riverside Dr, Macon, GA 31201, USA",Bibb County,Macon,GA,31201,32.8424299,-83.629452,33,20720.262,64.79731
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5440 Bowman Rd, Macon, GA 31210, USA",Bibb County,Macon,GA,31210,32.9261105,-83.73366229999999,48,28557.936,94.25063
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1330 Gray Hwy, Macon, GA 31211, USA",Bibb County,Macon,GA,31211,32.8613566,-83.6145032,38,23456.855,74.61508
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4285 Pio Nono Ave, Macon, GA 31206, USA",Bibb County,Macon,GA,31206,32.7859851,-83.6677727,39,23778.51,76.578636
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4731 Chambers Rd, Macon, GA 31206, USA",Bibb County,Macon,GA,31206,32.8085859,-83.72329649999999,29,17964.762,56.943092
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5146 Mercer University Dr, Macon, GA 31210, USA",Bibb County,Macon,GA,31210,32.8321919,-83.7309791,35,21550.174,68.72442
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3907 Arkwright Rd, Macon, GA 31210, USA",Bibb County,Macon,GA,31210,32.906,-83.6866651,42,25483.877,82.46931
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2644 Riverside Dr, Macon, GA 31204, USA",Bibb County,Macon,GA,31204,32.8741295,-83.66379189999999,17,10136.68,33.380432
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4475 Ocmulgee E Blvd, Macon, GA 31217, USA",Bibb County,Macon,GA,31217,32.8054701,-83.5694816,21,11991.63,41.234653
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3417 Wrightsboro Rd, Augusta, GA 30909, USA",Richmond County,Augusta,GA,30909,33.4685313,-82.0771022,30,17725.295,58.906647
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2951 Washington Rd, Augusta, GA 30909, USA",Richmond County,Augusta,GA,30909,33.511982,-82.0400964,33,17826.47,64.79731
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3408 Mike Padgett Hwy HY, Augusta, GA 30906, USA",Richmond County,Augusta,GA,30906,33.3993569,-82.00515480000001,41,25951.867,80.50575
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3164 Deans Bridge Rd, Augusta, GA 30906, USA",Richmond County,Augusta,GA,30906,33.4218789,-82.0616328,29,18068.854,56.943092
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3042 Washington Rd, Augusta, GA 30907, USA",Richmond County,Augusta,GA,30907,33.51253570000001,-82.04918839999999,32,18989.61,62.833755
